departamento,date,cases,deaths
Boaco,2020-03-23,1,0
Boaco,2020-04-08,1,0
Boaco,2020-04-27,3,0
Boaco,2020-05-02,1,0
Boaco,2020-05-03,2,0
Boaco,2020-05-11,1,1
Boaco,2020-05-13,2,1
Boaco,2020-05-19,2,2
Boaco,2020-05-21,1,2
Boaco,2020-05-27,1,3
Boaco,2020-05-29,2,6
Boaco,2020-05-30,3,6
Boaco,2020-06-02,13,6
Boaco,2020-06-04,3,9
Boaco,2020-06-05,1,10
Boaco,2020-06-06,10,18
Boaco,2020-06-08,4,21
Boaco,2020-06-11,2,23
Boaco,2020-06-12,3,24
Boaco,2020-06-13,4,25
Boaco,2020-06-14,2,26
Boaco,2020-06-15,13,27
Boaco,2020-06-16,16,33
Boaco,2020-06-19,14,34
Boaco,2020-06-21,7,36
Boaco,2020-06-22,3,36
Boaco,2020-06-23,1,36
Boaco,2020-06-24,2,36
Boaco,2020-06-26,1,36
Boaco,2020-06-27,2,37
Boaco,2020-06-29,3,38
Boaco,2020-06-30,19,40
Boaco,2020-07-01,1,40
Boaco,2020-07-02,16,41
Boaco,2020-07-06,2,43
Boaco,2020-07-11,1,45
Boaco,2020-07-13,4,45
Boaco,2020-07-15,16,47
Boaco,2020-07-16,4,48
Boaco,2020-07-22,1,48
Boaco,2020-07-25,3,49
Boaco,2020-08-21,7,56
Boaco,2020-12-04,1,57
Boaco,2020-12-09,1,58
Boaco,2020-12-21,8,58
Boaco,2021-01-05,7,59
Boaco,2021-03-21,1,59
Boaco,2021-04-05,3,59
Boaco,2021-05-05,15,59
Boaco,2021-06-19,1,59
Boaco,2021-07-07,2,60
Boaco,2021-07-28,1,60
Boaco,2021-08-03,2,61
Boaco,2021-08-21,8,63
Boaco,2021-08-24,2,64
Boaco,2021-08-25,1,65
Boaco,2021-08-27,2,66
Boaco,2021-08-31,1,67
Boaco,2021-09-01,1,67
Boaco,2021-09-05,2,67
Boaco,2021-09-06,7,68
Boaco,2021-09-07,1,68
Boaco,2021-09-12,6,75
Boaco,2021-09-13,1,76
Boaco,2021-09-15,1,78
Boaco,2021-09-16,2,79
Boaco,2021-09-19,2,80
Boaco,2021-09-21,6,88
Boaco,2021-09-24,1,89
Boaco,2021-09-27,1,90
Boaco,2021-09-28,2,91
Boaco,2021-09-30,1,92
Boaco,2021-10-01,1,93
Boaco,2021-10-02,4,93
Boaco,2021-10-03,1,94
Boaco,2021-10-05,2,94
Boaco,2021-10-07,2,96
Boaco,2021-10-08,1,97
Boaco,2021-10-10,4,97
Carazo,2020-03-22,1,0
Carazo,2020-04-27,1,1
Carazo,2020-04-29,5,1
Carazo,2020-05-05,2,2
Carazo,2020-05-07,2,2
Carazo,2020-05-08,3,2
Carazo,2020-05-10,1,2
Carazo,2020-05-11,1,2
Carazo,2020-05-16,4,5
Carazo,2020-05-20,4,5
Carazo,2020-05-22,1,5
Carazo,2020-05-23,4,7
Carazo,2020-05-24,1,7
Carazo,2020-05-25,5,11
Carazo,2020-05-26,31,16
Carazo,2020-05-27,2,18
Carazo,2020-05-28,3,21
Carazo,2020-05-29,2,21
Carazo,2020-05-30,1,22
Carazo,2020-06-01,5,24
Carazo,2020-06-02,1,25
Carazo,2020-06-03,2,25
Carazo,2020-06-04,4,28
Carazo,2020-06-05,3,30
Carazo,2020-06-06,1,31
Carazo,2020-06-07,3,32
Carazo,2020-06-08,3,34
Carazo,2020-06-11,14,37
Carazo,2020-06-12,15,39
Carazo,2020-06-13,24,40
Carazo,2020-06-15,1,41
Carazo,2020-06-16,3,42
Carazo,2020-06-20,1,42
Carazo,2020-06-21,1,42
Carazo,2020-06-22,6,42
Carazo,2020-06-23,2,42
Carazo,2020-06-24,4,45
Carazo,2020-06-25,6,46
Carazo,2020-06-26,9,46
Carazo,2020-06-27,6,46
Carazo,2020-06-28,8,47
Carazo,2020-06-29,5,49
Carazo,2020-06-30,1,49
Carazo,2020-07-01,1,49
Carazo,2020-07-02,3,50
Carazo,2020-07-03,1,50
Carazo,2020-07-04,3,50
Carazo,2020-07-05,2,50
Carazo,2020-07-06,4,51
Carazo,2020-07-07,2,51
Carazo,2020-07-13,2,51
Carazo,2020-07-15,4,52
Carazo,2020-07-16,5,52
Carazo,2020-07-18,2,52
Carazo,2020-07-20,4,52
Carazo,2020-07-21,3,53
Carazo,2020-07-22,2,54
Carazo,2020-07-24,1,54
Carazo,2020-07-25,1,54
Carazo,2020-08-27,3,57
Carazo,2020-09-16,1,57
Carazo,2020-09-27,2,57
Carazo,2020-09-30,2,57
Carazo,2020-10-12,1,58
Carazo,2020-11-11,3,58
Carazo,2020-11-16,1,58
Carazo,2020-11-19,5,58
Carazo,2020-11-25,1,58
Carazo,2020-12-04,6,58
Carazo,2020-12-16,8,59
Carazo,2021-01-07,3,59
Carazo,2021-04-05,1,60
Carazo,2021-04-06,2,62
Carazo,2021-04-07,1,63
Carazo,2021-04-09,1,63
Carazo,2021-04-29,8,65
Carazo,2021-05-03,1,65
Carazo,2021-05-13,5,68
Carazo,2021-05-19,1,70
Carazo,2021-05-26,1,71
Carazo,2021-05-31,3,74
Carazo,2021-06-01,1,75
Carazo,2021-06-22,1,76
Carazo,2021-07-07,5,82
Carazo,2021-07-08,13,89
Carazo,2021-07-09,4,89
Carazo,2021-07-10,9,89
Carazo,2021-07-13,1,90
Carazo,2021-07-28,1,91
Carazo,2021-07-29,9,91
Carazo,2021-07-31,2,92
Carazo,2021-08-05,3,92
Carazo,2021-08-17,1,92
Carazo,2021-08-20,1,92
Carazo,2021-09-04,5,96
Carazo,2021-09-05,4,96
Carazo,2021-09-06,1,96
Carazo,2021-09-08,2,98
Carazo,2021-09-09,3,101
Carazo,2021-09-10,1,102
Carazo,2021-09-12,2,104
Carazo,2021-09-13,3,108
Carazo,2021-09-15,7,114
Carazo,2021-09-16,1,115
Carazo,2021-09-17,1,115
Carazo,2021-09-20,3,117
Carazo,2021-09-21,2,119
Carazo,2021-09-22,2,119
Carazo,2021-09-23,5,122
Carazo,2021-09-24,4,126
Carazo,2021-09-25,2,128
Carazo,2021-09-26,2,130
Carazo,2021-09-27,3,133
Carazo,2021-09-28,6,138
Carazo,2021-09-29,3,141
Carazo,2021-10-02,1,142
Carazo,2021-10-03,2,143
Carazo,2021-10-04,5,148
Carazo,2021-10-09,5,148
Carazo,2021-10-11,2,150
Chinandega,2020-03-18,1,0
Chinandega,2020-03-21,1,0
Chinandega,2020-03-27,2,0
Chinandega,2020-03-28,1,0
Chinandega,2020-03-29,3,0
Chinandega,2020-03-31,1,0
Chinandega,2020-04-02,1,1
Chinandega,2020-04-06,2,1
Chinandega,2020-04-13,1,1
Chinandega,2020-04-19,1,1
Chinandega,2020-04-27,4,2
Chinandega,2020-04-29,2,2
Chinandega,2020-04-30,2,3
Chinandega,2020-05-02,4,7
Chinandega,2020-05-03,7,10
Chinandega,2020-05-04,9,12
Chinandega,2020-05-05,11,14
Chinandega,2020-05-06,2,15
Chinandega,2020-05-07,6,16
Chinandega,2020-05-08,5,18
Chinandega,2020-05-09,3,20
Chinandega,2020-05-10,4,23
Chinandega,2020-05-11,6,28
Chinandega,2020-05-12,9,33
Chinandega,2020-05-13,11,36
Chinandega,2020-05-14,2,37
Chinandega,2020-05-15,3,38
Chinandega,2020-05-16,10,43
Chinandega,2020-05-17,11,46
Chinandega,2020-05-18,5,46
Chinandega,2020-05-19,4,48
Chinandega,2020-05-20,2,49
Chinandega,2020-05-21,8,53
Chinandega,2020-05-22,11,53
Chinandega,2020-05-23,2,54
Chinandega,2020-05-24,3,56
Chinandega,2020-05-25,10,59
Chinandega,2020-05-26,6,59
Chinandega,2020-05-27,2,61
Chinandega,2020-05-28,4,63
Chinandega,2020-05-29,11,66
Chinandega,2020-05-30,3,67
Chinandega,2020-05-31,4,67
Chinandega,2020-06-01,4,69
Chinandega,2020-06-02,16,76
Chinandega,2020-06-03,5,77
Chinandega,2020-06-04,5,78
Chinandega,2020-06-05,2,79
Chinandega,2020-06-06,2,80
Chinandega,2020-06-07,4,83
Chinandega,2020-06-08,2,83
Chinandega,2020-06-09,4,86
Chinandega,2020-06-10,2,87
Chinandega,2020-06-15,4,89
Chinandega,2020-06-16,9,95
Chinandega,2020-06-17,3,97
Chinandega,2020-06-18,2,98
Chinandega,2020-06-19,1,99
Chinandega,2020-06-22,6,99
Chinandega,2020-06-23,1,99
Chinandega,2020-06-24,1,100
Chinandega,2020-06-25,3,101
Chinandega,2020-06-28,1,102
Chinandega,2020-06-29,2,102
Chinandega,2020-07-02,1,102
Chinandega,2020-07-06,8,109
Chinandega,2020-07-07,2,111
Chinandega,2020-07-10,2,113
Chinandega,2020-07-11,1,113
Chinandega,2020-07-13,1,113
Chinandega,2020-07-14,2,113
Chinandega,2020-07-16,2,113
Chinandega,2020-07-21,5,117
Chinandega,2020-07-22,6,118
Chinandega,2020-07-23,1,118
Chinandega,2020-07-24,1,118
Chinandega,2020-08-13,4,122
Chinandega,2020-08-14,1,122
Chinandega,2020-08-16,7,122
Chinandega,2020-08-17,1,122
Chinandega,2020-08-18,2,122
Chinandega,2020-08-19,2,122
Chinandega,2020-09-01,1,125
Chinandega,2020-09-04,1,126
Chinandega,2020-09-10,2,127
Chinandega,2020-09-13,3,127
Chinandega,2020-09-15,1,127
Chinandega,2020-09-22,2,128
Chinandega,2020-09-23,1,128
Chinandega,2020-09-27,10,128
Chinandega,2020-10-15,3,128
Chinandega,2020-11-03,3,128
Chinandega,2020-11-11,7,128
Chinandega,2020-11-18,1,128
Chinandega,2020-12-03,2,128
Chinandega,2020-12-16,2,128
Chinandega,2021-01-06,1,128
Chinandega,2021-01-07,3,128
Chinandega,2021-01-08,1,129
Chinandega,2021-01-12,2,130
Chinandega,2021-01-17,1,131
Chinandega,2021-01-22,3,131
Chinandega,2021-01-24,1,131
Chinandega,2021-01-26,1,131
Chinandega,2021-02-04,4,131
Chinandega,2021-02-05,4,132
Chinandega,2021-02-16,1,132
Chinandega,2021-03-06,1,133
Chinandega,2021-04-05,35,135
Chinandega,2021-04-12,2,135
Chinandega,2021-04-13,1,135
Chinandega,2021-04-15,1,135
Chinandega,2021-04-26,9,138
Chinandega,2021-04-28,3,138
Chinandega,2021-04-29,11,138
Chinandega,2021-05-01,1,138
Chinandega,2021-05-06,1,138
Chinandega,2021-05-08,2,139
Chinandega,2021-05-09,1,140
Chinandega,2021-05-10,1,140
Chinandega,2021-05-11,3,143
Chinandega,2021-05-12,3,144
Chinandega,2021-05-14,2,146
Chinandega,2021-05-15,1,146
Chinandega,2021-05-16,80,146
Chinandega,2021-05-19,2,148
Chinandega,2021-05-21,1,148
Chinandega,2021-05-24,5,151
Chinandega,2021-05-29,7,157
Chinandega,2021-05-30,1,158
Chinandega,2021-06-01,1,158
Chinandega,2021-06-12,14,162
Chinandega,2021-06-15,3,162
Chinandega,2021-06-29,1,162
Chinandega,2021-06-30,1,162
Chinandega,2021-07-09,6,163
Chinandega,2021-07-10,1,164
Chinandega,2021-08-04,1,164
Chinandega,2021-08-05,3,165
Chinandega,2021-08-09,1,165
Chinandega,2021-08-23,1,166
Chinandega,2021-08-26,2,168
Chinandega,2021-08-28,5,168
Chinandega,2021-08-29,1,168
Chinandega,2021-08-30,1,169
Chinandega,2021-09-02,3,169
Chinandega,2021-09-03,18,169
Chinandega,2021-09-05,3,170
Chinandega,2021-09-06,1,170
Chinandega,2021-09-07,1,170
Chinandega,2021-09-08,5,173
Chinandega,2021-09-09,1,173
Chinandega,2021-09-11,7,180
Chinandega,2021-09-12,40,192
Chinandega,2021-09-13,2,193
Chinandega,2021-09-14,1,194
Chinandega,2021-09-16,43,195
Chinandega,2021-09-17,2,197
Chinandega,2021-09-19,3,197
Chinandega,2021-09-20,19,198
Chinandega,2021-09-21,1,199
Chinandega,2021-09-22,1,200
Chinandega,2021-09-28,3,201
Chinandega,2021-10-01,2,203
Chinandega,2021-10-02,2,205
Chinandega,2021-10-07,4,207
Chinandega,2021-10-08,1,207
Chinandega,2021-10-09,2,209
Chinandega,2021-10-11,1,210
Chinandega,2021-10-14,1,211
Chontales,2020-03-25,3,0
Chontales,2020-03-31,2,0
Chontales,2020-04-06,1,0
Chontales,2020-04-10,1,0
Chontales,2020-04-11,2,0
Chontales,2020-04-18,18,0
Chontales,2020-04-20,1,1
Chontales,2020-05-07,4,2
Chontales,2020-05-08,2,2
Chontales,2020-05-09,1,2
Chontales,2020-05-15,1,3
Chontales,2020-05-17,9,3
Chontales,2020-05-19,3,3
Chontales,2020-05-23,2,4
Chontales,2020-05-25,4,5
Chontales,2020-05-26,1,5
Chontales,2020-05-27,1,6
Chontales,2020-05-28,3,7
Chontales,2020-05-29,2,7
Chontales,2020-06-01,1,7
Chontales,2020-06-02,2,9
Chontales,2020-06-04,2,11
Chontales,2020-06-06,1,13
Chontales,2020-06-07,1,14
Chontales,2020-06-08,2,16
Chontales,2020-06-09,1,17
Chontales,2020-06-12,3,18
Chontales,2020-06-13,2,19
Chontales,2020-06-14,2,21
Chontales,2020-06-15,1,22
Chontales,2020-06-16,5,25
Chontales,2020-06-17,1,25
Chontales,2020-06-18,4,26
Chontales,2020-06-19,15,30
Chontales,2020-06-20,5,35
Chontales,2020-06-21,2,36
Chontales,2020-06-22,1,38
Chontales,2020-06-23,1,39
Chontales,2020-06-26,2,40
Chontales,2020-06-27,1,41
Chontales,2020-06-28,2,43
Chontales,2020-06-29,1,44
Chontales,2020-06-30,4,46
Chontales,2020-07-01,3,48
Chontales,2020-07-02,5,51
Chontales,2020-07-05,2,53
Chontales,2020-07-06,1,54
Chontales,2020-07-08,1,55
Chontales,2020-07-10,13,69
Chontales,2020-07-11,1,70
Chontales,2020-07-12,1,71
Chontales,2020-07-14,2,72
Chontales,2020-07-15,1,73
Chontales,2020-07-16,1,74
Chontales,2020-07-18,2,77
Chontales,2020-07-21,10,87
Chontales,2020-07-22,1,87
Chontales,2020-07-26,1,87
Chontales,2020-07-27,2,89
Chontales,2020-07-28,2,90
Chontales,2020-07-31,1,93
Chontales,2020-08-01,1,94
Chontales,2020-08-02,5,95
Chontales,2020-08-03,1,96
Chontales,2020-08-04,2,98
Chontales,2020-08-05,1,99
Chontales,2020-08-09,1,100
Chontales,2020-08-18,2,101
Chontales,2020-08-19,1,101
Chontales,2020-08-20,1,101
Chontales,2020-09-04,2,102
Chontales,2020-09-10,3,105
Chontales,2020-09-17,2,106
Chontales,2020-09-18,1,106
Chontales,2020-10-08,1,106
Chontales,2020-11-25,11,108
Chontales,2020-11-30,1,108
Chontales,2020-12-15,1,108
Chontales,2021-01-05,5,109
Chontales,2021-01-27,2,109
Chontales,2021-04-03,1,109
Chontales,2021-04-06,5,109
Chontales,2021-04-07,1,109
Chontales,2021-04-18,1,110
Chontales,2021-04-24,5,110
Chontales,2021-05-06,1,110
Chontales,2021-05-11,1,110
Chontales,2021-05-12,10,110
Chontales,2021-05-16,1,111
Chontales,2021-05-17,5,111
Chontales,2021-05-23,1,111
Chontales,2021-05-26,1,112
Chontales,2021-05-31,4,113
Chontales,2021-06-02,25,115
Chontales,2021-06-04,4,116
Chontales,2021-06-06,1,117
Chontales,2021-06-07,2,118
Chontales,2021-06-08,3,118
Chontales,2021-06-12,2,118
Chontales,2021-06-26,1,119
Chontales,2021-07-01,3,120
Chontales,2021-07-08,3,121
Chontales,2021-07-09,1,121
Chontales,2021-07-12,2,121
Chontales,2021-07-14,5,125
Chontales,2021-07-28,2,126
Chontales,2021-07-30,1,127
Chontales,2021-08-04,1,127
Chontales,2021-08-05,3,130
Chontales,2021-08-09,5,130
Chontales,2021-08-10,1,131
Chontales,2021-08-17,21,132
Chontales,2021-08-18,3,132
Chontales,2021-08-23,43,136
Chontales,2021-08-24,2,136
Chontales,2021-08-26,45,137
Chontales,2021-08-27,7,137
Chontales,2021-08-28,2,138
Chontales,2021-08-29,3,139
Chontales,2021-08-30,7,143
Chontales,2021-08-31,15,150
Chontales,2021-09-01,13,154
Chontales,2021-09-02,10,154
Chontales,2021-09-03,55,162
Chontales,2021-09-04,2,164
Chontales,2021-09-05,5,167
Chontales,2021-09-06,9,172
Chontales,2021-09-07,4,176
Chontales,2021-09-08,1,177
Chontales,2021-09-09,1,178
Chontales,2021-09-10,7,179
Chontales,2021-09-11,1,179
Chontales,2021-09-12,11,182
Chontales,2021-09-13,4,184
Chontales,2021-09-14,2,185
Chontales,2021-09-15,7,189
Chontales,2021-09-16,3,191
Chontales,2021-09-17,7,193
Chontales,2021-09-18,26,195
Chontales,2021-09-19,7,201
Chontales,2021-09-20,2,201
Chontales,2021-09-21,24,220
Chontales,2021-09-22,6,222
Chontales,2021-09-23,5,223
Chontales,2021-09-24,9,230
Chontales,2021-09-25,1,232
Chontales,2021-09-26,6,236
Chontales,2021-09-27,1,237
Chontales,2021-09-28,4,239
Chontales,2021-09-29,6,239
Chontales,2021-10-01,4,241
Chontales,2021-10-02,2,241
Chontales,2021-10-03,42,242
Chontales,2021-10-04,4,244
Chontales,2021-10-05,6,244
Chontales,2021-10-06,5,244
Chontales,2021-10-07,13,246
Chontales,2021-10-08,2,246
Chontales,2021-10-09,1,246
Chontales,2021-10-11,1,246
Chontales,2021-10-15,3,247
Chontales,2021-10-17,7,247
Chontales,2021-10-19,1,249
Esteli,2020-03-19,8,0
Esteli,2020-03-20,4,0
Esteli,2020-03-24,1,0
Esteli,2020-03-25,1,0
Esteli,2020-03-29,2,0
Esteli,2020-03-31,2,0
Esteli,2020-04-08,1,0
Esteli,2020-04-09,1,1
Esteli,2020-04-19,2,1
Esteli,2020-04-21,2,2
Esteli,2020-04-25,1,2
Esteli,2020-04-29,1,2
Esteli,2020-04-30,3,2
Esteli,2020-05-04,2,2
Esteli,2020-05-06,1,2
Esteli,2020-05-12,4,2
Esteli,2020-05-15,1,2
Esteli,2020-05-17,3,2
Esteli,2020-05-18,1,3
Esteli,2020-05-20,3,3
Esteli,2020-05-21,3,3
Esteli,2020-05-22,5,4
Esteli,2020-05-23,1,4
Esteli,2020-05-25,1,5
Esteli,2020-05-26,23,5
Esteli,2020-05-27,2,6
Esteli,2020-05-28,4,7
Esteli,2020-05-29,3,7
Esteli,2020-05-31,1,7
Esteli,2020-06-01,2,8
Esteli,2020-06-02,4,9
Esteli,2020-06-03,12,11
Esteli,2020-06-04,7,13
Esteli,2020-06-05,9,18
Esteli,2020-06-06,5,21
Esteli,2020-06-07,2,21
Esteli,2020-06-08,11,25
Esteli,2020-06-09,9,26
Esteli,2020-06-10,7,27
Esteli,2020-06-11,3,28
Esteli,2020-06-12,4,29
Esteli,2020-06-13,7,34
Esteli,2020-06-14,6,36
Esteli,2020-06-15,7,40
Esteli,2020-06-16,11,45
Esteli,2020-06-17,31,49
Esteli,2020-06-18,56,54
Esteli,2020-06-19,11,57
Esteli,2020-06-20,8,59
Esteli,2020-06-21,15,63
Esteli,2020-06-22,9,67
Esteli,2020-06-23,7,71
Esteli,2020-06-24,1,72
Esteli,2020-06-25,2,73
Esteli,2020-06-27,1,73
Esteli,2020-06-28,2,74
Esteli,2020-06-29,5,75
Esteli,2020-06-30,2,76
Esteli,2020-07-01,3,77
Esteli,2020-07-02,39,84
Esteli,2020-07-03,6,87
Esteli,2020-07-04,9,87
Esteli,2020-07-05,2,87
Esteli,2020-07-06,6,88
Esteli,2020-07-07,13,96
Esteli,2020-07-08,14,103
Esteli,2020-07-09,9,104
Esteli,2020-07-10,7,110
Esteli,2020-07-12,5,110
Esteli,2020-07-13,7,111
Esteli,2020-07-14,6,111
Esteli,2020-07-15,7,112
Esteli,2020-07-16,1,113
Esteli,2020-07-17,6,114
Esteli,2020-07-18,1,115
Esteli,2020-07-19,4,118
Esteli,2020-07-21,6,118
Esteli,2020-07-22,8,120
Esteli,2020-07-24,16,120
Esteli,2020-07-26,1,121
Esteli,2020-07-29,4,121
Esteli,2020-07-31,2,122
Esteli,2020-08-02,3,123
Esteli,2020-08-03,1,123
Esteli,2020-08-04,2,124
Esteli,2020-08-05,2,124
Esteli,2020-08-06,1,124
Esteli,2020-08-07,4,125
Esteli,2020-08-12,1,125
Esteli,2020-08-13,13,125
Esteli,2020-08-14,6,125
Esteli,2020-08-17,1,125
Esteli,2020-08-19,4,126
Esteli,2020-08-21,1,126
Esteli,2020-08-22,31,126
Esteli,2020-08-23,15,127
Esteli,2020-08-24,4,127
Esteli,2020-08-25,4,127
Esteli,2020-08-26,3,128
Esteli,2020-08-28,1,129
Esteli,2020-08-29,2,129
Esteli,2020-08-31,4,129
Esteli,2020-09-01,4,130
Esteli,2020-09-05,1,131
Esteli,2020-09-12,18,131
Esteli,2020-09-16,2,131
Esteli,2020-09-17,11,133
Esteli,2020-09-23,1,134
Esteli,2020-09-24,4,134
Esteli,2020-10-02,2,136
Esteli,2020-10-07,2,138
Esteli,2020-10-28,3,138
Esteli,2020-11-02,2,140
Esteli,2020-11-04,8,140
Esteli,2020-11-09,6,140
Esteli,2020-11-11,1,140
Esteli,2020-11-16,2,140
Esteli,2020-11-17,1,140
Esteli,2020-11-18,1,140
Esteli,2020-11-25,2,141
Esteli,2020-11-27,2,142
Esteli,2020-11-29,4,142
Esteli,2020-12-01,1,143
Esteli,2020-12-02,3,144
Esteli,2020-12-03,6,144
Esteli,2020-12-04,1,144
Esteli,2020-12-08,4,144
Esteli,2020-12-15,1,144
Esteli,2020-12-16,1,144
Esteli,2020-12-19,5,144
Esteli,2020-12-26,1,145
